Ratio,ACC,HA,ebF1,miF1,maF1
0%,0.3957,0.9926,0.5249,0.5553,0.217
0%,0.3412,0.9922,0.4883,0.5317,0.2185
0%,0.2877,0.9912,0.4351,0.4795,0.2175
0%,0.3007,0.9916,0.4491,0.4957,0.2222
0%,0.2847,0.991,0.4227,0.4718,0.2113
0%,0.2425,0.9907,0.3959,0.4462,0.2218
0%,0.3608,0.9924,0.5023,0.5393,0.218
0%,0.313,0.9918,0.4623,0.5117,0.2225
0%,0.3435,0.9924,0.4857,0.5305,0.2197
0%,0.2894,0.9914,0.4467,0.491,0.2156
1%,0.4050,0.9932,0.5315,0.5784,0.2212
1%,0.4159,0.9930,0.5552,0.5819,0.2215
1%,0.4123,0.9930,0.5337,0.5726,0.2171
1%,0.3917,0.9927,0.5304,0.5574,0.2165
1%,0.4159,0.9932,0.5470,0.5819,0.2196
1%,0.3748,0.9928,0.5347,0.5683,0.2150
1%,0.4093,0.9932,0.5358,0.5809,0.2181
1%,0.3930,0.9928,0.5256,0.5637,0.2176
1%,0.4123,0.9932,0.5278,0.5746,0.2155
1%,0.4262,0.9933,0.5575,0.5944,0.2136
10%,0.4844,0.9942,0.6184,0.6517,0.2389
10%,0.5203,0.9945,0.6349,0.6667,0.2415
10%,0.4953,0.9944,0.6113,0.6468,0.2400
10%,0.5090,0.9943,0.6276,0.6553,0.2320
10%,0.4701,0.9941,0.5904,0.6370,0.2391
10%,0.4907,0.9943,0.6176,0.6521,0.2357
10%,0.5189,0.9945,0.6433,0.6677,0.2412
10%,0.5140,0.9944,0.6398,0.6655,0.2287
10%,0.4718,0.9939,0.6225,0.6441,0.2317
10%,0.4797,0.9941,0.5986,0.6348,0.2332
20%,0.5472,0.9950,0.6627,0.6897,0.2527
20%,0.5415,0.9948,0.6506,0.6796,0.2512
20%,0.5389,0.9948,0.6570,0.6866,0.2538
20%,0.5462,0.9949,0.6678,0.6944,0.2489
20%,0.5372,0.9947,0.6715,0.6891,0.2590
20%,0.5369,0.9949,0.6498,0.6805,0.2469
20%,0.5684,0.9950,0.6859,0.7003,0.2463
20%,0.5392,0.9949,0.6604,0.6862,0.2491
20%,0.5571,0.9950,0.6738,0.6996,0.2500
20%,0.5316,0.9948,0.6517,0.6816,0.2544
30%,0.5392,0.9948,0.6609,0.6887,0.2443
30%,0.5844,0.9952,0.6880,0.7090,0.2549
30%,0.5791,0.9952,0.6899,0.7104,0.2634
30%,0.5797,0.9951,0.6986,0.7097,0.2456
30%,0.5957,0.9952,0.7024,0.7150,0.2506
30%,0.5668,0.9951,0.6746,0.7030,0.2415
30%,0.5691,0.9951,0.6807,0.7045,0.2538
30%,0.5701,0.9952,0.6883,0.7107,0.2644
30%,0.5738,0.9951,0.6993,0.7106,0.2578
30%,0.5860,0.9953,0.6864,0.7143,0.2622
40%,0.5950,0.9953,0.7103,0.7202,0.2428
40%,0.6100,0.9956,0.7178,0.7349,0.2513
40%,0.5678,0.9951,0.6953,0.7112,0.2693
40%,0.6130,0.9955,0.7244,0.7319,0.2622
40%,0.5874,0.9953,0.6932,0.7170,0.2633
40%,0.5924,0.9953,0.6992,0.7206,0.2462
40%,0.6120,0.9954,0.7203,0.7304,0.2605
40%,0.5458,0.9950,0.6670,0.6983,0.2685
40%,0.5864,0.9953,0.7015,0.7208,0.2458
40%,0.5764,0.9952,0.6855,0.7140,0.2663
50%,0.6020,0.9954,0.7052,0.7249,0.2405
50%,0.6276,0.9956,0.7346,0.7433,0.2464
50%,0.6130,0.9956,0.7224,0.7355,0.2784
50%,0.5937,0.9954,0.7062,0.7236,0.2524
50%,0.5950,0.9954,0.6965,0.7239,0.2691
50%,0.6166,0.9955,0.7364,0.7378,0.2596
50%,0.5804,0.9952,0.6881,0.7120,0.2645
50%,0.6133,0.9955,0.7134,0.7326,0.2688
50%,0.6120,0.9955,0.7191,0.7357,0.2535
50%,0.5857,0.9952,0.6977,0.7168,0.2557
