Ratio,ACC,HA,ebF1,miF1,maF1
1%,0.042168675,0.990485753,0.238908013,0.272204807,0.234041785
1%,0.03413654618473896,0.990437942,0.225156977,0.255643045,0.232067789
1%,0.043172691,0.990475507,0.214367861,0.249272294,0.223109911
1%,0.035140562,0.990362812,0.217784631,0.255813953,0.235169344
1%,0.031124498,0.990274021,0.217396788,0.251940897,0.222711219
1%,0.041164659,0.990256946,0.235278343,0.267450404,0.230841391
1%,0.041164659,0.990352567,0.237681896,0.268324268,0.233434882
1%,0.044176707,0.990560883,0.22998118,0.258426966,0.225764311
1%,0.046184739,0.990673579,0.243935482,0.279525529,0.237753544
1%,0.03815261,0.990424282,0.218571182,0.249621785,0.227809795
10%,0.064257028,0.991564899,0.27572592,0.311248074,0.243151876
10%,0.062248996,0.991636614,0.269446111,0.307213579,0.238010328
10%,0.052208835,0.991469278,0.269403371,0.312312312,0.243284986
10%,0.053212851,0.991482939,0.275753954,0.308831036,0.225295298
10%,0.057228916,0.991711745,0.275888475,0.316197365,0.240475582
10%,0.070281124,0.99166735,0.274929081,0.313063063,0.238923795
10%,0.064257028,0.991493184,0.272516473,0.309398392,0.225696471
10%,0.060240964,0.991469278,0.26445305,0.302624232,0.232540635
10%,0.0562249,0.991551239,0.278439153,0.316645489,0.235450281
10%,0.054216867,0.991441958,0.263979004,0.303314917,0.220950948
20%,0.076305221,0.991626369,0.315922637,0.348916166,0.245767646
20%,0.077309237,0.99172199,0.314391911,0.344641896,0.231904843
20%,0.058232932,0.991571729,0.295730686,0.333602368,0.227596588
20%,0.064257028,0.991571729,0.283342895,0.323298074,0.234114748
20%,0.071285141,0.991643445,0.303459871,0.339693631,0.238570746
20%,0.076305221,0.99164686,0.300555396,0.33512931,0.236125103
20%,0.070281124,0.991523919,0.299262128,0.331570598,0.231439543
20%,0.069277108,0.99168101,0.309598133,0.349011224,0.256543511
20%,0.064257028,0.991643445,0.301498853,0.344919077,0.250415936
20%,0.06626506,0.991650275,0.290703289,0.32830385,0.236179627
30%,0.073293173,0.991622954,0.319374323,0.351735016,0.246595178
30%,0.06626506,0.991527334,0.30387104,0.345730749,0.241150597
30%,0.081325301,0.99167418,0.308319787,0.343255564,0.240573039
30%,0.069277108,0.99166052,0.303972455,0.341333333,0.246767211
30%,0.071285141,0.991571729,0.309589657,0.346736292,0.25387498
30%,0.067269076,0.991711745,0.31467305,0.355613577,0.23957723
30%,0.065261044,0.991599049,0.310609248,0.350103734,0.236185551
30%,0.072289157,0.991619539,0.321290211,0.358695652,0.247528258
30%,0.070281124,0.99164686,0.314328236,0.354483482,0.248738861
30%,0.069277108,0.991530749,0.310849966,0.347305389,0.238874943
40%,0.06124498,0.9917015,0.31185246,0.351895425,0.240426531
40%,0.071285141,0.991551239,0.303169867,0.340647858,0.242072505
40%,0.071285141,0.991670765,0.313616515,0.3524742,0.244568198
40%,0.068273092,0.991534164,0.322078864,0.35605079,0.239450212
40%,0.068273092,0.991554654,0.308138108,0.34629156,0.244782659
40%,0.083333333,0.991643445,0.323443123,0.35721703,0.242027439
40%,0.076305221,0.99165369,0.314491299,0.347248072,0.230419056
40%,0.071285141,0.991759555,0.313390865,0.350376749,0.235161226
40%,0.073293173,0.991773215,0.323680581,0.358881409,0.248699271
40%,0.078313253,0.991534164,0.313019538,0.347116144,0.238022416
50%,0.079317269,0.99165369,0.33782511,0.364871666,0.236281277
50%,0.071285141,0.99164003,0.316511428,0.352755075,0.242940116
50%,0.071285141,0.991571729,0.310658507,0.349881797,0.246758583
50%,0.076305221,0.991650275,0.333969355,0.365168539,0.239798191
50%,0.079317269,0.991817611,0.322155288,0.357749469,0.251975969
50%,0.074297189,0.99172199,0.319211768,0.35770235,0.23920022
50%,0.075301205,0.991602464,0.313355007,0.349113991,0.243562538
50%,0.073293173,0.99164686,0.314638858,0.349356449,0.23672485
50%,0.074297189,0.991677595,0.32151463,0.358735096,0.245750987
50%,0.073293173,0.991650275,0.322382459,0.357330531,0.236070592
